time,fraction_a,fraction_b,fraction_c
1,0.0016,0.0028,0.0028
2,0.0004,0.0004,0.0004
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0008,0.0,0.0
10,0.0016,0.0012,0.0
11,0.0068,0.0028,0.0032
12,0.0244,0.016,0.0132
13,0.0616,0.0524,0.0476
14,0.1324,0.1204,0.1276
15,0.214,0.2212,0.2124
16,0.2948,0.31,0.2764
17,0.3304,0.3512,0.302
18,0.336,0.3572,0.306
19,0.338,0.3556,0.3064
20,0.3412,0.358,0.3008
21,0.342,0.3608,0.2972
22,0.3432,0.3624,0.2944
23,0.3448,0.3632,0.292
24,0.3492,0.3616,0.2892
25,0.35,0.3628,0.2872
26,0.3516,0.3628,0.2856
27,0.352,0.364,0.284
28,0.3516,0.3656,0.2828
29,0.3504,0.368,0.2816
30,0.3488,0.3684,0.2828
31,0.3484,0.3704,0.2812
32,0.3476,0.3704,0.282
33,0.3468,0.37,0.2832
34,0.348,0.3664,0.2856
35,0.3484,0.3692,0.2824
36,0.3472,0.3676,0.2852
37,0.3468,0.3676,0.2856
38,0.3468,0.3672,0.286
39,0.3456,0.3668,0.2876
40,0.346,0.3668,0.2872
41,0.3444,0.3692,0.2864
42,0.3452,0.37,0.2848
43,0.3452,0.368,0.2868
44,0.3468,0.3668,0.2864
45,0.348,0.366,0.286
46,0.348,0.3672,0.2848
47,0.3464,0.366,0.2876
48,0.3468,0.364,0.2892
49,0.3448,0.362,0.2932
50,0.344,0.3628,0.2932
51,0.3432,0.3632,0.2936
52,0.3408,0.3636,0.2956
53,0.34,0.3628,0.2972
54,0.3404,0.362,0.2976
55,0.3416,0.3608,0.2976
56,0.3376,0.3612,0.3012
57,0.3352,0.36,0.3048
58,0.3344,0.3568,0.3088
59,0.33,0.3572,0.3128
60,0.3288,0.3564,0.3148
61,0.3304,0.3552,0.3144
62,0.3296,0.354,0.3164
63,0.3296,0.3532,0.3172
64,0.332,0.3512,0.3168
65,0.3344,0.348,0.3176
66,0.3364,0.3448,0.3188
67,0.3396,0.3424,0.318
68,0.3396,0.3408,0.3196
69,0.3416,0.3384,0.32
70,0.3428,0.336,0.3212
71,0.3444,0.3332,0.3224
72,0.344,0.3316,0.3244
73,0.3456,0.3272,0.3272
74,0.3492,0.324,0.3268
75,0.3512,0.3216,0.3272
76,0.352,0.3204,0.3276
77,0.3536,0.3188,0.3276
78,0.3568,0.3156,0.3276
79,0.36,0.31,0.33
80,0.3612,0.3076,0.3312
81,0.3672,0.3012,0.3316
82,0.3668,0.3,0.3332
83,0.3692,0.2992,0.3316
84,0.37,0.2976,0.3324
85,0.3744,0.2948,0.3308
86,0.3776,0.292,0.3304
87,0.3776,0.2912,0.3312
88,0.3792,0.288,0.3328
89,0.3832,0.2848,0.332
90,0.3856,0.2832,0.3312
91,0.3868,0.282,0.3312
92,0.386,0.2832,0.3308
93,0.386,0.2824,0.3316
94,0.3884,0.28,0.3316
95,0.388,0.2804,0.3316
96,0.3888,0.2788,0.3324
97,0.3904,0.2792,0.3304
98,0.3908,0.2796,0.3296
99,0.3936,0.276,0.3304
100,0.3956,0.2752,0.3292
101,0.3988,0.2724,0.3288
102,0.4008,0.2712,0.328
103,0.4036,0.2688,0.3276
104,0.4044,0.2684,0.3272
105,0.4048,0.2684,0.3268
106,0.4064,0.2668,0.3268
107,0.4064,0.2672,0.3264
108,0.4072,0.2664,0.3264
109,0.4088,0.2656,0.3256
110,0.412,0.2632,0.3248
111,0.4144,0.262,0.3236
112,0.4148,0.2612,0.324
113,0.4164,0.2596,0.324
114,0.4172,0.2596,0.3232
115,0.4184,0.2588,0.3228
116,0.4204,0.2572,0.3224
117,0.4224,0.2572,0.3204
118,0.424,0.2564,0.3196
119,0.4264,0.2544,0.3192
120,0.4268,0.254,0.3192
121,0.4264,0.2552,0.3184
122,0.4276,0.254,0.3184
123,0.4296,0.252,0.3184
124,0.4296,0.2524,0.318
125,0.4336,0.2476,0.3188
126,0.4364,0.2468,0.3168
127,0.4352,0.2484,0.3164
128,0.4368,0.248,0.3152
129,0.4392,0.2456,0.3152
130,0.4408,0.2432,0.316
131,0.4428,0.2428,0.3144
132,0.4452,0.242,0.3128
133,0.4456,0.2412,0.3132
134,0.4456,0.2408,0.3136
135,0.4476,0.2396,0.3128
136,0.4492,0.24,0.3108
137,0.4512,0.2388,0.31
138,0.454,0.2364,0.3096
139,0.4556,0.2348,0.3096
140,0.4596,0.2312,0.3092
141,0.4612,0.2304,0.3084
142,0.4624,0.228,0.3096
143,0.4648,0.2264,0.3088
144,0.4708,0.2256,0.3036
145,0.4724,0.2232,0.3044
146,0.4708,0.2256,0.3036
147,0.4716,0.2284,0.3
148,0.4744,0.2284,0.2972
149,0.4736,0.2308,0.2956
150,0.4728,0.2336,0.2936
151,0.4724,0.2356,0.292
152,0.4732,0.2364,0.2904
153,0.47,0.2388,0.2912
154,0.4704,0.2408,0.2888
155,0.47,0.2436,0.2864
156,0.4708,0.244,0.2852
157,0.4716,0.2456,0.2828
158,0.4724,0.246,0.2816
159,0.4704,0.248,0.2816
160,0.4684,0.2504,0.2812
161,0.4676,0.254,0.2784
162,0.468,0.2572,0.2748
163,0.4664,0.2588,0.2748
164,0.464,0.2596,0.2764
165,0.4652,0.2608,0.274
166,0.4636,0.264,0.2724
167,0.4636,0.2656,0.2708
168,0.4636,0.2688,0.2676
169,0.4612,0.2712,0.2676
170,0.4596,0.2748,0.2656
171,0.4588,0.2792,0.262
172,0.4572,0.282,0.2608
173,0.4564,0.2892,0.2544
174,0.4548,0.2952,0.25
175,0.454,0.2972,0.2488
176,0.4532,0.302,0.2448
177,0.452,0.3068,0.2412
178,0.4496,0.3108,0.2396
179,0.4484,0.3152,0.2364
180,0.4468,0.3172,0.236
181,0.444,0.322,0.234
182,0.4444,0.3236,0.232
183,0.4428,0.3268,0.2304
184,0.44,0.3304,0.2296
185,0.4388,0.3328,0.2284
186,0.4356,0.3336,0.2308
187,0.4328,0.3352,0.232
188,0.434,0.3368,0.2292
189,0.4324,0.3388,0.2288
190,0.4312,0.3384,0.2304
191,0.4288,0.34,0.2312
192,0.4264,0.3412,0.2324
193,0.424,0.344,0.232
194,0.4224,0.3432,0.2344
195,0.4224,0.3424,0.2352
196,0.4192,0.3452,0.2356
197,0.4168,0.3464,0.2368
198,0.4148,0.3472,0.238
199,0.414,0.3496,0.2364
200,0.4128,0.3496,0.2376
201,0.4104,0.3492,0.2404
202,0.4088,0.35,0.2412
203,0.4076,0.3508,0.2416
204,0.406,0.3528,0.2412
205,0.4016,0.3544,0.244
206,0.3992,0.3552,0.2456
207,0.3968,0.3556,0.2476
208,0.3964,0.3556,0.248
209,0.3924,0.3584,0.2492
210,0.3908,0.358,0.2512
211,0.3888,0.3588,0.2524
212,0.3872,0.3584,0.2544
213,0.384,0.3588,0.2572
214,0.3804,0.3592,0.2604
215,0.378,0.3612,0.2608
216,0.3748,0.3608,0.2644
217,0.3728,0.3604,0.2668
218,0.3704,0.3612,0.2684
219,0.3672,0.3616,0.2712
220,0.3652,0.364,0.2708
221,0.3632,0.364,0.2728
222,0.3596,0.3632,0.2772
223,0.3576,0.3624,0.28
224,0.356,0.362,0.282
225,0.3532,0.3636,0.2832
226,0.352,0.3628,0.2852
227,0.3484,0.3624,0.2892
228,0.3468,0.3624,0.2908
229,0.3448,0.3628,0.2924
230,0.3412,0.3632,0.2956
231,0.3372,0.3652,0.2976
232,0.3348,0.3648,0.3004
233,0.3344,0.364,0.3016
234,0.3312,0.364,0.3048
235,0.3296,0.3624,0.308
236,0.328,0.3632,0.3088
237,0.3268,0.364,0.3092
238,0.3248,0.3636,0.3116
239,0.3212,0.364,0.3148
240,0.3204,0.3632,0.3164
241,0.3184,0.3632,0.3184
242,0.3168,0.3624,0.3208
243,0.3148,0.3624,0.3228
244,0.3124,0.3644,0.3232
245,0.3124,0.3648,0.3228
246,0.3104,0.3648,0.3248
247,0.3108,0.3632,0.326
248,0.3108,0.3628,0.3264
249,0.3092,0.362,0.3288
250,0.3068,0.362,0.3312
251,0.3076,0.362,0.3304
252,0.3056,0.3632,0.3312
253,0.3012,0.3632,0.3356
254,0.2996,0.3632,0.3372
255,0.2992,0.3636,0.3372
256,0.298,0.3628,0.3392
257,0.2964,0.3628,0.3408
258,0.2944,0.3628,0.3428
259,0.2932,0.3624,0.3444
260,0.2928,0.3616,0.3456
261,0.2944,0.36,0.3456
262,0.2924,0.3592,0.3484
263,0.2924,0.358,0.3496
264,0.292,0.3572,0.3508
265,0.2884,0.3596,0.352
266,0.2852,0.3584,0.3564
267,0.2848,0.3584,0.3568
268,0.284,0.358,0.358
269,0.2832,0.3572,0.3596
270,0.2828,0.3548,0.3624
271,0.2808,0.3548,0.3644
272,0.2792,0.354,0.3668
273,0.2752,0.3544,0.3704
274,0.2728,0.354,0.3732
275,0.2728,0.3532,0.374
276,0.2692,0.3532,0.3776
277,0.266,0.354,0.38
278,0.2648,0.3524,0.3828
279,0.262,0.3512,0.3868
280,0.2596,0.3504,0.39
281,0.2552,0.35,0.3948
282,0.2512,0.3492,0.3996
283,0.2464,0.348,0.4056
284,0.2416,0.3472,0.4112
285,0.2392,0.3456,0.4152
286,0.2376,0.3444,0.418
287,0.236,0.3424,0.4216
288,0.2336,0.344,0.4224
289,0.2324,0.3404,0.4272
290,0.2304,0.3388,0.4308
291,0.2288,0.338,0.4332
292,0.2288,0.3364,0.4348
293,0.2288,0.3356,0.4356
294,0.2288,0.3328,0.4384
295,0.228,0.3312,0.4408
296,0.228,0.3288,0.4432
297,0.2316,0.3244,0.444
298,0.2332,0.32,0.4468
299,0.2324,0.3196,0.448
300,0.234,0.3152,0.4508
301,0.234,0.3128,0.4532
302,0.2352,0.3116,0.4532
303,0.2344,0.3108,0.4548
304,0.2336,0.3092,0.4572
305,0.2348,0.306,0.4592
306,0.2368,0.3036,0.4596
307,0.2364,0.3048,0.4588
308,0.2376,0.3028,0.4596
309,0.238,0.3004,0.4616
310,0.2384,0.2976,0.464
311,0.2396,0.2968,0.4636
312,0.2396,0.2964,0.464
313,0.2396,0.2936,0.4668
314,0.2396,0.2932,0.4672
315,0.24,0.2928,0.4672
316,0.2412,0.2912,0.4676
317,0.242,0.2904,0.4676
318,0.2424,0.2888,0.4688
319,0.2436,0.2872,0.4692
320,0.2432,0.288,0.4688
321,0.2444,0.286,0.4696
322,0.246,0.2836,0.4704
323,0.2448,0.284,0.4712
324,0.246,0.282,0.472
325,0.2456,0.28,0.4744
326,0.246,0.2804,0.4736
327,0.2476,0.28,0.4724
328,0.2492,0.2792,0.4716
329,0.2508,0.278,0.4712
330,0.252,0.2768,0.4712
331,0.2512,0.276,0.4728
332,0.252,0.2752,0.4728
333,0.254,0.2724,0.4736
334,0.2536,0.2728,0.4736
335,0.2556,0.2728,0.4716
336,0.2572,0.272,0.4708
337,0.2576,0.27,0.4724
338,0.2592,0.2688,0.472
339,0.2612,0.2668,0.472
340,0.2608,0.2656,0.4736
341,0.2616,0.2644,0.474
342,0.2636,0.2644,0.472
343,0.2668,0.2636,0.4696
344,0.2668,0.2636,0.4696
345,0.2688,0.262,0.4692
346,0.2696,0.2612,0.4692
347,0.2712,0.2584,0.4704
348,0.2732,0.2564,0.4704
349,0.2732,0.2564,0.4704
350,0.2756,0.2568,0.4676
351,0.278,0.2564,0.4656
352,0.2808,0.2552,0.464
353,0.282,0.2544,0.4636
354,0.2836,0.254,0.4624
355,0.2856,0.254,0.4604
356,0.2868,0.2536,0.4596
357,0.2888,0.252,0.4592
358,0.29,0.2508,0.4592
359,0.2916,0.2508,0.4576
360,0.2932,0.2504,0.4564
361,0.2968,0.2484,0.4548
362,0.3004,0.2452,0.4544
363,0.3024,0.2472,0.4504
364,0.3072,0.2444,0.4484
365,0.3104,0.2424,0.4472
366,0.3144,0.242,0.4436
367,0.316,0.242,0.442
368,0.3184,0.238,0.4436
369,0.3216,0.2376,0.4408
370,0.3244,0.2348,0.4408
371,0.3272,0.2356,0.4372
372,0.3324,0.2344,0.4332
373,0.3352,0.234,0.4308
374,0.3392,0.232,0.4288
375,0.3416,0.234,0.4244
376,0.344,0.2368,0.4192
377,0.346,0.2384,0.4156
378,0.3468,0.2428,0.4104
379,0.3504,0.244,0.4056
380,0.3508,0.2472,0.402
381,0.352,0.254,0.394
382,0.3524,0.2564,0.3912
383,0.3536,0.258,0.3884
384,0.3564,0.2584,0.3852
385,0.358,0.26,0.382
386,0.3592,0.2636,0.3772
387,0.3588,0.2668,0.3744
388,0.3608,0.2664,0.3728
389,0.3624,0.2672,0.3704
390,0.3632,0.2688,0.368
391,0.3624,0.2756,0.362
392,0.3624,0.2748,0.3628
393,0.3628,0.276,0.3612
394,0.3636,0.278,0.3584
395,0.3624,0.2804,0.3572
396,0.3636,0.2824,0.354
397,0.3644,0.284,0.3516
398,0.364,0.286,0.35
399,0.3656,0.2856,0.3488
400,0.3656,0.288,0.3464
401,0.3668,0.2896,0.3436
402,0.3672,0.2916,0.3412
403,0.3664,0.2924,0.3412
404,0.3664,0.2936,0.34
405,0.3668,0.294,0.3392
406,0.3672,0.2956,0.3372
407,0.368,0.296,0.336
408,0.368,0.2988,0.3332
409,0.3684,0.2992,0.3324
410,0.3692,0.3004,0.3304
411,0.3708,0.302,0.3272
412,0.37,0.3036,0.3264
413,0.3696,0.3044,0.326
414,0.3684,0.3052,0.3264
415,0.3692,0.3068,0.324
416,0.3696,0.3068,0.3236
417,0.3704,0.3104,0.3192
418,0.3688,0.3116,0.3196
419,0.3692,0.314,0.3168
420,0.3704,0.3152,0.3144
421,0.3688,0.3164,0.3148
422,0.368,0.3168,0.3152
423,0.3672,0.3184,0.3144
424,0.366,0.3216,0.3124
425,0.366,0.3212,0.3128
426,0.366,0.3232,0.3108
427,0.366,0.3248,0.3092
428,0.3664,0.3256,0.308
429,0.3656,0.3264,0.308
430,0.3652,0.3292,0.3056
431,0.3656,0.3304,0.304
432,0.3628,0.332,0.3052
433,0.3628,0.336,0.3012
434,0.3624,0.3376,0.3
435,0.3624,0.3376,0.3
436,0.3624,0.3392,0.2984
437,0.362,0.3428,0.2952
438,0.36,0.3436,0.2964
439,0.3592,0.346,0.2948
440,0.3576,0.348,0.2944
441,0.3556,0.35,0.2944
442,0.3568,0.352,0.2912
443,0.356,0.356,0.288
444,0.3564,0.3568,0.2868
445,0.3552,0.3588,0.286
446,0.3544,0.36,0.2856
447,0.3532,0.3612,0.2856
448,0.352,0.3652,0.2828
449,0.3508,0.3692,0.28
450,0.3508,0.3704,0.2788
451,0.3472,0.3728,0.28
452,0.3452,0.3772,0.2776
453,0.3452,0.3812,0.2736
454,0.3432,0.3832,0.2736
455,0.3408,0.3876,0.2716
456,0.3384,0.392,0.2696
457,0.3364,0.3972,0.2664
458,0.3336,0.4028,0.2636
459,0.3316,0.4092,0.2592
460,0.3272,0.4144,0.2584
461,0.3252,0.418,0.2568
462,0.3208,0.4236,0.2556
463,0.318,0.4236,0.2584
464,0.3152,0.43,0.2548
465,0.3136,0.4332,0.2532
466,0.3124,0.4348,0.2528
467,0.3128,0.4384,0.2488
468,0.3128,0.4392,0.248
469,0.3092,0.4424,0.2484
470,0.3056,0.4444,0.25
471,0.3052,0.4456,0.2492
472,0.3056,0.4472,0.2472
473,0.304,0.448,0.248
474,0.3036,0.4488,0.2476
475,0.304,0.452,0.244
476,0.302,0.4528,0.2452
477,0.3008,0.4548,0.2444
478,0.3004,0.4556,0.244
479,0.2992,0.4584,0.2424
480,0.2988,0.4592,0.242
481,0.2968,0.4604,0.2428
482,0.2968,0.4612,0.242
483,0.2956,0.4616,0.2428
484,0.294,0.4624,0.2436
485,0.2924,0.4644,0.2432
486,0.292,0.4644,0.2436
487,0.2916,0.4664,0.242
488,0.29,0.4672,0.2428
489,0.2892,0.4672,0.2436
490,0.29,0.4672,0.2428
491,0.29,0.4676,0.2424
492,0.2888,0.468,0.2432
493,0.2876,0.4692,0.2432
494,0.2856,0.4716,0.2428
495,0.2848,0.472,0.2432
496,0.2848,0.4724,0.2428
497,0.2844,0.4724,0.2432
498,0.2828,0.4736,0.2436
499,0.2812,0.4744,0.2444
500,0.2796,0.476,0.2444
501,0.2804,0.4768,0.2428
502,0.2808,0.4764,0.2428
503,0.28,0.4764,0.2436
504,0.2808,0.4756,0.2436
505,0.2792,0.4768,0.244
506,0.2772,0.4772,0.2456
507,0.2768,0.4784,0.2448
508,0.2756,0.4792,0.2452
509,0.2752,0.4804,0.2444
510,0.2744,0.48,0.2456
511,0.2748,0.4784,0.2468
512,0.2744,0.478,0.2476
513,0.2732,0.4768,0.25
514,0.274,0.4768,0.2492
515,0.2728,0.4784,0.2488
516,0.2732,0.4788,0.248
517,0.2728,0.478,0.2492
518,0.2724,0.4776,0.25
519,0.2704,0.4788,0.2508
520,0.2696,0.478,0.2524
521,0.2688,0.4776,0.2536
522,0.2692,0.478,0.2528
523,0.2692,0.4772,0.2536
524,0.2688,0.4772,0.254
525,0.2668,0.478,0.2552
526,0.2672,0.478,0.2548
527,0.266,0.4768,0.2572
528,0.2644,0.4776,0.258
529,0.2644,0.4768,0.2588
530,0.2628,0.4764,0.2608
531,0.2632,0.4756,0.2612
532,0.2644,0.4736,0.262
533,0.264,0.4728,0.2632
534,0.2624,0.4724,0.2652
535,0.2608,0.474,0.2652
536,0.262,0.472,0.266
537,0.26,0.472,0.268
538,0.2584,0.4712,0.2704
539,0.2592,0.4692,0.2716
540,0.2576,0.4684,0.274
541,0.2568,0.4676,0.2756
542,0.2568,0.4668,0.2764
543,0.2572,0.464,0.2788
544,0.2576,0.4624,0.28
545,0.256,0.462,0.282
546,0.2552,0.46,0.2848
547,0.2552,0.46,0.2848
548,0.256,0.4596,0.2844
549,0.2552,0.458,0.2868
550,0.2524,0.4576,0.29
551,0.2508,0.4564,0.2928
552,0.2496,0.4556,0.2948
553,0.2492,0.454,0.2968
554,0.2484,0.4516,0.3
555,0.2484,0.45,0.3016
556,0.244,0.4492,0.3068
557,0.2428,0.4464,0.3108
558,0.2424,0.4444,0.3132
559,0.24,0.4432,0.3168
560,0.2388,0.4412,0.32
561,0.2392,0.438,0.3228
562,0.2412,0.4344,0.3244
563,0.2424,0.4316,0.326
564,0.2424,0.428,0.3296
565,0.2464,0.4244,0.3292
566,0.2484,0.4192,0.3324
567,0.252,0.4144,0.3336
568,0.2544,0.412,0.3336
569,0.256,0.408,0.336
570,0.2596,0.4052,0.3352
571,0.2616,0.4012,0.3372
572,0.2632,0.3984,0.3384
573,0.266,0.3956,0.3384
574,0.266,0.3948,0.3392
575,0.2688,0.3896,0.3416
576,0.27,0.3876,0.3424
577,0.2724,0.384,0.3436
578,0.272,0.384,0.344
579,0.2732,0.3804,0.3464
580,0.2756,0.3784,0.346
581,0.2748,0.378,0.3472
582,0.2772,0.376,0.3468
583,0.278,0.3748,0.3472
584,0.2804,0.3732,0.3464
585,0.2804,0.3724,0.3472
586,0.2808,0.3704,0.3488
587,0.2816,0.3684,0.35
588,0.2832,0.366,0.3508
589,0.2852,0.364,0.3508
590,0.2876,0.362,0.3504
591,0.2872,0.3604,0.3524
592,0.2884,0.3596,0.352
593,0.2888,0.3604,0.3508
594,0.2916,0.3584,0.35
595,0.2924,0.3576,0.35
596,0.2936,0.3568,0.3496
597,0.2936,0.3564,0.35
598,0.2952,0.3536,0.3512
599,0.2964,0.3516,0.352
600,0.298,0.3512,0.3508
601,0.3,0.3492,0.3508
602,0.302,0.3476,0.3504
603,0.3012,0.3484,0.3504
604,0.3012,0.3476,0.3512
605,0.302,0.3452,0.3528
606,0.3016,0.3452,0.3532
607,0.3032,0.3444,0.3524
608,0.3052,0.3424,0.3524
609,0.306,0.3408,0.3532
610,0.3084,0.3388,0.3528
611,0.3104,0.338,0.3516
612,0.3104,0.3384,0.3512
613,0.3124,0.3384,0.3492
614,0.3124,0.3404,0.3472
615,0.3124,0.34,0.3476
616,0.3144,0.3376,0.348
617,0.316,0.336,0.348
618,0.3164,0.3356,0.348
619,0.3176,0.3336,0.3488
620,0.3192,0.332,0.3488
621,0.32,0.334,0.346
622,0.3216,0.3324,0.346
623,0.3224,0.3332,0.3444
624,0.3236,0.3324,0.344
625,0.3252,0.3308,0.344
626,0.3256,0.3312,0.3432
627,0.3268,0.33,0.3432
628,0.3292,0.33,0.3408
629,0.3312,0.3296,0.3392
630,0.3312,0.3284,0.3404
631,0.3312,0.33,0.3388
632,0.3344,0.3276,0.338
633,0.336,0.328,0.336
634,0.3368,0.3288,0.3344
635,0.3372,0.3292,0.3336
636,0.34,0.328,0.332
637,0.3416,0.328,0.3304
638,0.3432,0.3292,0.3276
639,0.3424,0.3324,0.3252
640,0.3456,0.332,0.3224
641,0.3468,0.334,0.3192
642,0.3472,0.3356,0.3172
643,0.3496,0.3356,0.3148
644,0.3524,0.3328,0.3148
645,0.3548,0.3328,0.3124
646,0.3556,0.3332,0.3112
647,0.3572,0.3344,0.3084
648,0.3588,0.3332,0.308
649,0.3604,0.3328,0.3068
650,0.3612,0.3336,0.3052
651,0.3624,0.3344,0.3032
652,0.3668,0.3324,0.3008
653,0.3668,0.3316,0.3016
654,0.3676,0.3308,0.3016
655,0.3688,0.3296,0.3016
656,0.3708,0.328,0.3012
657,0.372,0.3272,0.3008
658,0.374,0.326,0.3
659,0.3764,0.324,0.2996
660,0.3784,0.3236,0.298
661,0.38,0.3232,0.2968
662,0.382,0.3216,0.2964
663,0.3844,0.3204,0.2952
664,0.3872,0.3184,0.2944
665,0.3924,0.3136,0.294
666,0.3944,0.3116,0.294
667,0.4,0.3068,0.2932
668,0.4024,0.3048,0.2928
669,0.4048,0.3028,0.2924
670,0.408,0.3004,0.2916
671,0.4112,0.2984,0.2904
672,0.4136,0.298,0.2884
673,0.414,0.2972,0.2888
674,0.4168,0.296,0.2872
675,0.42,0.294,0.286
676,0.4216,0.2916,0.2868
677,0.4244,0.2896,0.286
678,0.4252,0.2876,0.2872
679,0.4284,0.2852,0.2864
680,0.4296,0.286,0.2844
681,0.4312,0.2856,0.2832
682,0.4332,0.2832,0.2836
683,0.4352,0.2808,0.284
684,0.4356,0.2816,0.2828
685,0.4376,0.2808,0.2816
686,0.4404,0.2776,0.282
687,0.4408,0.2768,0.2824
688,0.4424,0.2768,0.2808
689,0.4448,0.2756,0.2796
690,0.4472,0.2728,0.28
691,0.4476,0.2716,0.2808
692,0.4484,0.2716,0.28
693,0.4496,0.2696,0.2808
694,0.4504,0.2708,0.2788
695,0.4512,0.2696,0.2792
696,0.4528,0.268,0.2792
697,0.454,0.2672,0.2788
698,0.4536,0.2676,0.2788
699,0.4544,0.2664,0.2792
700,0.4548,0.266,0.2792
701,0.4556,0.2648,0.2796
702,0.4576,0.2628,0.2796
703,0.458,0.2632,0.2788
704,0.4604,0.262,0.2776
705,0.4608,0.2624,0.2768
706,0.4612,0.2624,0.2764
707,0.4612,0.2636,0.2752
708,0.4636,0.2624,0.274
709,0.4656,0.2596,0.2748
710,0.4664,0.2592,0.2744
711,0.4656,0.2596,0.2748
712,0.4664,0.2592,0.2744
713,0.4672,0.2588,0.274
714,0.4688,0.2584,0.2728
715,0.47,0.2572,0.2728
716,0.4708,0.256,0.2732
717,0.4704,0.2568,0.2728
718,0.4708,0.2568,0.2724
719,0.4708,0.258,0.2712
720,0.4708,0.2576,0.2716
721,0.4716,0.2568,0.2716
722,0.4696,0.2584,0.272
723,0.4708,0.2572,0.272
724,0.472,0.256,0.272
725,0.472,0.256,0.272
726,0.4724,0.256,0.2716
727,0.4728,0.2552,0.272
728,0.4724,0.2564,0.2712
729,0.4732,0.256,0.2708
730,0.4744,0.2548,0.2708
731,0.4748,0.2548,0.2704
732,0.4748,0.2552,0.27
733,0.4748,0.2552,0.27
734,0.4752,0.2548,0.27
735,0.4748,0.2548,0.2704
736,0.4744,0.2552,0.2704
737,0.4748,0.2552,0.27
738,0.4764,0.254,0.2696
739,0.4752,0.2564,0.2684
740,0.476,0.2556,0.2684
741,0.4776,0.2556,0.2668
742,0.4784,0.2544,0.2672
743,0.4768,0.2548,0.2684
744,0.4776,0.2556,0.2668
745,0.4756,0.2564,0.268
746,0.4756,0.2556,0.2688
747,0.4764,0.2556,0.268
748,0.4768,0.2564,0.2668
749,0.476,0.2568,0.2672
750,0.4768,0.2572,0.266
751,0.478,0.256,0.266
752,0.4784,0.2552,0.2664
753,0.4776,0.2564,0.266
754,0.4772,0.2556,0.2672
755,0.4772,0.2564,0.2664
756,0.476,0.2576,0.2664
757,0.4776,0.2564,0.266
758,0.4768,0.2572,0.266
759,0.4768,0.2568,0.2664
760,0.4796,0.2548,0.2656
761,0.4792,0.2556,0.2652
762,0.4792,0.2552,0.2656
763,0.4772,0.2556,0.2672
764,0.478,0.2568,0.2652
765,0.4772,0.258,0.2648
766,0.4772,0.2576,0.2652
767,0.4764,0.2604,0.2632
768,0.4752,0.2616,0.2632
769,0.4748,0.262,0.2632
770,0.474,0.2624,0.2636
771,0.4736,0.2616,0.2648
772,0.4736,0.2628,0.2636
773,0.4752,0.262,0.2628
774,0.4756,0.2616,0.2628
