p,r
0.8909167999999994,1
0.7929236000000008,2
0.7035736000000007,3
0.6231152000000005,4
0.5558424000000002,5
0.5050960000000005,6
0.4662052000000001,7
0.4361800000000004,8
0.413478799999999,9
0.39764159999999965,10
0.388255600000001,11
0.3831932000000007,12
0.38125760000000025,13
0.38044399999999995,14
0.3798563999999998,15
0.3790679999999997,16
0.3782056000000002,17
0.37838720000000003,18
0.3803136000000005,19
0.38449079999999963,20
0.3912927999999992,21
0.3989343999999998,22
0.4054311999999998,23
0.41031720000000005,24
0.41207439999999984,25
