,p,r
0,0.8957848000000002,1
1,0.8035364000000005,2
2,0.7186808000000003,3
3,0.6416783999999993,4
4,0.5732132000000001,5
5,0.5159339999999999,6
6,0.47248600000000035,7
7,0.44014080000000055,8
8,0.4147484000000004,9
9,0.3946,10
10,0.3790520000000001,11
11,0.3678767999999999,12
12,0.36087320000000006,13
13,0.35708199999999995,14
14,0.3563316,15
15,0.3576640000000006,16
16,0.3602735999999999,17
17,0.36332080000000005,18
18,0.3667363999999998,19
19,0.3699344000000003,20
20,0.3727260000000005,21
21,0.37517879999999876,22
22,0.37711360000000066,23
23,0.37845520000000077,24
24,0.3789135999999997,25
